IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.97.162,4,4,0.00,160.86,31.80
162.159.45.226,4,4,0.00,157.79,30.67
104.19.143.73,4,4,0.00,158.50,27.72
162.159.58.190,4,4,0.00,159.96,26.25
104.19.12.104,4,4,0.00,150.88,17.55
104.16.46.198,4,4,0.00,155.03,15.73
104.16.130.185,4,4,0.00,155.82,14.33
104.19.240.63,4,4,0.00,157.74,9.27
141.101.123.229,4,4,0.00,161.75,6.44
104.19.64.240,4,4,0.00,162.22,0.00
